TEMP_id,Scope,Level 1,Level 2,Level 3,Combustion or WTT,Level 4,Level 5,UOM,GHG/Unit,GHG Conversion Factor,Year
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),WTT,,,tonnes,kg CO2e,752.0276,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),WTT,,,litres,kg CO2e,0.62409,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),WTT,,,kWh (Net CV),kg CO2e,0.06291,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Diesel (100% mineral diesel),WTT,,,kWh (Gross CV),kg CO2e,0.05913,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,WTT,,,tonnes,kg CO2e,714.86545,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,WTT,,,litres,kg CO2e,0.69539,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,WTT,,,kWh (Net CV),kg CO2e,0.06291,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Fuel oil,WTT,,,kWh (Gross CV),kg CO2e,0.05913,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,WTT,,,tonnes,kg CO2e,743.83524,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,WTT,,,litres,kg CO2e,0.62665,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,WTT,,,kWh (Net CV),kg CO2e,0.06291,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Gas oil,WTT,,,kWh (Gross CV),kg CO2e,0.05913,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,WTT,,,tonnes,kg CO2e,1116.83712,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,WTT,,,litres,kg CO2e,,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,WTT,,,kWh (Net CV),kg CO2e,0.09828,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Lubricants,WTT,,,kWh (Gross CV),kg CO2e,0.09238,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,WTT,,,tonnes,kg CO2e,640.41464,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,WTT,,,litres,kg CO2e,,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,WTT,,,kWh (Net CV),kg CO2e,0.05076,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Naphtha,WTT,,,kWh (Gross CV),kg CO2e,0.04822,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),WTT,,,tonnes,kg CO2e,777.33392,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),WTT,,,litres,kg CO2e,0.58094,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),WTT,,,kWh (Net CV),kg CO2e,0.0648,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (average biofuel blend),WTT,,,kWh (Gross CV),kg CO2e,0.0614,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),WTT,,,tonnes,kg CO2e,815.93523,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),WTT,,,litres,kg CO2e,0.60664,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),WTT,,,kWh (Net CV),kg CO2e,0.06582,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),WTT,,,kWh (Gross CV),kg CO2e,0.06253,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,WTT,,,tonnes,kg CO2e,1132.08149,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,WTT,,,litres,kg CO2e,1.10125,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,WTT,,,kWh (Net CV),kg CO2e,0.09962,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,WTT,,,kWh (Gross CV),kg CO2e,0.09364,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,WTT,,,tonnes,kg CO2e,1123.49881,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,WTT,,,litres,kg CO2e,0.9465,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,WTT,,,kWh (Net CV),kg CO2e,0.09501,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,WTT,,,kWh (Gross CV),kg CO2e,0.08931,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,WTT,,,tonnes,kg CO2e,348.98258,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,WTT,,,litres,kg CO2e,,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,WTT,,,kWh (Net CV),kg CO2e,0.03077,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,WTT,,,kWh (Gross CV),kg CO2e,0.02923,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Waste oils,WTT,,,tonnes,kg CO2e,1116.83712,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Waste oils,WTT,,,litres,kg CO2e,,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Waste oils,WTT,,,kWh (Net CV),kg CO2e,0.09526,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Waste oils,WTT,,,kWh (Gross CV),kg CO2e,0.08895,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,WTT,,,tonnes,kg CO2e,743.83524,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,WTT,,,litres,kg CO2e,0.62665,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,WTT,,,kWh (Net CV),kg CO2e,0.06291,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,WTT,,,kWh (Gross CV),kg CO2e,0.05913,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,WTT,,,tonnes,kg CO2e,714.86545,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,WTT,,,litres,kg CO2e,0.69539,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,WTT,,,kWh (Net CV),kg CO2e,0.06291,2025
1.3.1,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,WTT,,,kWh (Gross CV),kg CO2e,0.05913,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),WTT,,,tonnes,kg CO2e,418.14964,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),WTT,,,kWh (Net CV),kg CO2e,0.05925,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),WTT,,,kWh (Gross CV),kg CO2e,0.05629,2025
1.3.1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),WTT,,,tonnes,kg CO2e,390.06647,2025
