index,Scope,Level 1,Activity,Fuel,Unit
11251,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,kWh (Gross CV)
11252,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,tonnes
11253,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,litres
11254,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,kWh (Net CV)
11255,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,kWh (Gross CV)
11256,Scope 1,Fuels,Liquid fuels,Waste oils,tonnes
11257,Scope 1,Fuels,Liquid fuels,Waste oils,litres
11258,Scope 1,Fuels,Liquid fuels,Waste oils,kWh (Net CV)
11259,Scope 1,Fuels,Liquid fuels,Waste oils,kWh (Gross CV)
11260,Scope 1,Fuels,Liquid fuels,Marine gas oil,tonnes
11261,Scope 1,Fuels,Liquid fuels,Marine gas oil,litres
11262,Scope 1,Fuels,Liquid fuels,Marine gas oil,kWh (Net CV)
11263,Scope 1,Fuels,Liquid fuels,Marine gas oil,kWh (Gross CV)
11264,Scope 1,Fuels,Liquid fuels,Marine fuel oil,tonnes
11265,Scope 1,Fuels,Liquid fuels,Marine fuel oil,litres
11266,Scope 1,Fuels,Liquid fuels,Marine fuel oil,kWh (Net CV)
11267,Scope 1,Fuels,Liquid fuels,Marine fuel oil,kWh (Gross CV)
1130,Scope 1,Fuels,Solid fuels,Coal (industrial),tonnes
1131,Scope 1,Fuels,Solid fuels,Coal (industrial),kWh (Net CV)
1132,Scope 1,Fuels,Solid fuels,Coal (industrial),kWh (Gross CV)
1133,Scope 1,Fuels,Solid fuels,Coal (electricity generation),tonnes
1134,Scope 1,Fuels,Solid fuels,Coal (electricity generation),kWh (Net CV)
1135,Scope 1,Fuels,Solid fuels,Coal (electricity generation),kWh (Gross CV)
1136,Scope 1,Fuels,Solid fuels,Coal (domestic),tonnes
1137,Scope 1,Fuels,Solid fuels,Coal (domestic),kWh (Net CV)
1138,Scope 1,Fuels,Solid fuels,Coal (domestic),kWh (Gross CV)
1139,Scope 1,Fuels,Solid fuels,Coking coal,tonnes
11310,Scope 1,Fuels,Solid fuels,Coking coal,kWh (Net CV)
11311,Scope 1,Fuels,Solid fuels,Coking coal,kWh (Gross CV)
11312,Scope 1,Fuels,Solid fuels,Petroleum coke,tonnes
11313,Scope 1,Fuels,Solid fuels,Petroleum coke,kWh (Net CV)
11314,Scope 1,Fuels,Solid fuels,Petroleum coke,kWh (Gross CV)
11315,Scope 1,Fuels,Solid fuels,Coal (electricity generation - home produced coal only),tonnes
11316,Scope 1,Fuels,Solid fuels,Coal (electricity generation - home produced coal only),kWh (Net CV)
11317,Scope 1,Fuels,Solid fuels,Coal (electricity generation - home produced coal only),kWh (Gross CV)
