index,GHG/Unit,GHG Conversion Factor
11232,kg CO2e of CH4 per unit,3.8192
11233,kg CO2e of CH4 per unit,0.00258
11234,kg CO2e of CH4 per unit,0.0003
11235,kg CO2e of CH4 per unit,0.00029
11236,kg CO2e of CH4 per unit,10.8416
11237,kg CO2e of CH4 per unit,0.00806
11238,kg CO2e of CH4 per unit,0.0009
11239,kg CO2e of CH4 per unit,0.00084
11240,kg CO2e of CH4 per unit,11.0432
11241,kg CO2e of CH4 per unit,0.0082
11242,kg CO2e of CH4 per unit,0.0009
11243,kg CO2e of CH4 per unit,0.00085
11244,kg CO2e of CH4 per unit,5.3872
11245,kg CO2e of CH4 per unit,0.0053
11246,kg CO2e of CH4 per unit,0.00047
11247,kg CO2e of CH4 per unit,0.00045
11248,kg CO2e of CH4 per unit,3.6848
11249,kg CO2e of CH4 per unit,0.00315
11250,kg CO2e of CH4 per unit,0.00031
11251,kg CO2e of CH4 per unit,0.00029
11252,kg CO2e of CH4 per unit,3.7968
11253,kg CO2e of CH4 per unit,
11254,kg CO2e of CH4 per unit,0.00034
11255,kg CO2e of CH4 per unit,0.00031
11256,kg CO2e of CH4 per unit,3.5504
11257,kg CO2e of CH4 per unit,0.00302
11258,kg CO2e of CH4 per unit,0.0003
11259,kg CO2e of CH4 per unit,0.00028
11260,kg CO2e of CH4 per unit,0.9072
11261,kg CO2e of CH4 per unit,0.00077
11262,kg CO2e of CH4 per unit,8e-05
11263,kg CO2e of CH4 per unit,7e-05
11264,kg CO2e of CH4 per unit,1.4224
11265,kg CO2e of CH4 per unit,0.0014
11266,kg CO2e of CH4 per unit,0.00012
11267,kg CO2e of CH4 per unit,0.00012
1120,kg CO2e of N2O per unit,26.5
1121,kg CO2e of N2O per unit,0.01934
1122,kg CO2e of N2O per unit,0.00213
1123,kg CO2e of N2O per unit,0.00203
1124,kg CO2e of N2O per unit,26.5
1125,kg CO2e of N2O per unit,0.0212
1126,kg CO2e of N2O per unit,0.00217
1127,kg CO2e of N2O per unit,0.00206
1128,kg CO2e of N2O per unit,6.97181
1129,kg CO2e of N2O per unit,0.00559
11210,kg CO2e of N2O per unit,0.00057
11211,kg CO2e of N2O per unit,0.00054
11212,kg CO2e of N2O per unit,38.88742
11213,kg CO2e of N2O per unit,0.0329
11214,kg CO2e of N2O per unit,0.0033
11215,kg CO2e of N2O per unit,0.0031
11216,kg CO2e of N2O per unit,39.23423
11217,kg CO2e of N2O per unit,0.03308
11218,kg CO2e of N2O per unit,0.0033
11219,kg CO2e of N2O per unit,0.00309
11220,kg CO2e of N2O per unit,7.12299
11221,kg CO2e of N2O per unit,0.00701
11222,kg CO2e of N2O per unit,0.00063
11223,kg CO2e of N2O per unit,0.0006
11224,kg CO2e of N2O per unit,32.89379
11225,kg CO2e of N2O per unit,0.02809
11226,kg CO2e of N2O per unit,0.00278
11227,kg CO2e of N2O per unit,0.00261
11228,kg CO2e of N2O per unit,6.48272
11229,kg CO2e of N2O per unit,0.0056
11230,kg CO2e of N2O per unit,0.00057
11231,kg CO2e of N2O per unit,0.00054
11232,kg CO2e of N2O per unit,7.2297
11233,kg CO2e of N2O per unit,0.00487
11234,kg CO2e of N2O per unit,0.00057
11235,kg CO2e of N2O per unit,0.00054
11236,kg CO2e of N2O per unit,7.88775
11237,kg CO2e of N2O per unit,0.00587
11238,kg CO2e of N2O per unit,0.00065
11239,kg CO2e of N2O per unit,0.00061
11240,kg CO2e of N2O per unit,8.03893
11241,kg CO2e of N2O per unit,0.00597
11242,kg CO2e of N2O per unit,0.00065
11243,kg CO2e of N2O per unit,0.00061
11244,kg CO2e of N2O per unit,7.12299
11245,kg CO2e of N2O per unit,0.00701
11246,kg CO2e of N2O per unit,0.00063
11247,kg CO2e of N2O per unit,0.0006
11248,kg CO2e of N2O per unit,32.89379
11249,kg CO2e of N2O per unit,0.02809
11250,kg CO2e of N2O per unit,0.00278
11251,kg CO2e of N2O per unit,0.00261
11252,kg CO2e of N2O per unit,7.19413
11253,kg CO2e of N2O per unit,
11254,kg CO2e of N2O per unit,0.00063
11255,kg CO2e of N2O per unit,0.0006
11256,kg CO2e of N2O per unit,44.73876
11257,kg CO2e of N2O per unit,0.0382
11258,kg CO2e of N2O per unit,0.00381
11259,kg CO2e of N2O per unit,0.00357
11260,kg CO2e of N2O per unit,38.40721
11261,kg CO2e of N2O per unit,0.0328
11262,kg CO2e of N2O per unit,0.00325
11263,kg CO2e of N2O per unit,0.00305
11264,kg CO2e of N2O per unit,39.34094
11265,kg CO2e of N2O per unit,0.03868
11266,kg CO2e of N2O per unit,0.00348
11267,kg CO2e of N2O per unit,0.00326
1130,kg CO2e,2395.28994
1131,kg CO2e,0.33944
1132,kg CO2e,0.32246
1133,kg CO2e,2225.22448
1134,kg CO2e,0.33621
1135,kg CO2e,0.31939
1136,kg CO2e,2904.95234
1137,kg CO2e,0.36549
1138,kg CO2e,0.34721
1139,kg CO2e,3164.65002
11310,kg CO2e,0.37675
11311,kg CO2e,0.3579
11312,kg CO2e,3386.57168
11313,kg CO2e,0.35887
11314,kg CO2e,0.34092
11315,kg CO2e,2221.7467
11316,kg CO2e,0.33621
11317,kg CO2e,0.31939
1130,kg CO2e of CO2 per unit,2370.72
1131,kg CO2e of CO2 per unit,0.33595
1132,kg CO2e of CO2 per unit,0.31915
1133,kg CO2e of CO2 per unit,2213.33
1134,kg CO2e of CO2 per unit,0.33443
1135,kg CO2e of CO2 per unit,0.3177
1136,kg CO2e of CO2 per unit,2632.0
1137,kg CO2e of CO2 per unit,0.33115
1138,kg CO2e of CO2 per unit,0.31459
1139,kg CO2e of CO2 per unit,3144.16
11310,kg CO2e of CO2 per unit,0.37431
11311,kg CO2e of CO2 per unit,0.35559
11312,kg CO2e of CO2 per unit,3377.05
11313,kg CO2e of CO2 per unit,0.35786
11314,kg CO2e of CO2 per unit,0.33997
11315,kg CO2e of CO2 per unit,2209.87
11316,kg CO2e of CO2 per unit,0.33443
11317,kg CO2e of CO2 per unit,0.3177
1130,kg CO2e of CH4 per unit,7.6384
1131,kg CO2e of CH4 per unit,0.00109
1132,kg CO2e of CH4 per unit,0.00103
1133,kg CO2e of CH4 per unit,0.672
1134,kg CO2e of CH4 per unit,0.0001
1135,kg CO2e of CH4 per unit,0.0001
1136,kg CO2e of CH4 per unit,240.352
1137,kg CO2e of CH4 per unit,0.03024
1138,kg CO2e of CH4 per unit,0.02873
1139,kg CO2e of CH4 per unit,8.4672
11310,kg CO2e of CH4 per unit,0.00101
11311,kg CO2e of CH4 per unit,0.00095
11312,kg CO2e of CH4 per unit,3.8304
11313,kg CO2e of CH4 per unit,0.0004
11314,kg CO2e of CH4 per unit,0.00038
11315,kg CO2e of CH4 per unit,0.672
11316,kg CO2e of CH4 per unit,0.0001
11317,kg CO2e of CH4 per unit,0.0001
1130,kg CO2e of N2O per unit,16.93154
1131,kg CO2e of N2O per unit,0.0024
1132,kg CO2e of N2O per unit,0.00228
1133,kg CO2e of N2O per unit,11.22248
1134,kg CO2e of N2O per unit,0.00168
1135,kg CO2e of N2O per unit,0.00159
1136,kg CO2e of N2O per unit,32.60034
1137,kg CO2e of N2O per unit,0.0041
1138,kg CO2e of N2O per unit,0.00389
1139,kg CO2e of N2O per unit,12.02282
11310,kg CO2e of N2O per unit,0.00143
11311,kg CO2e of N2O per unit,0.00136
11312,kg CO2e of N2O per unit,5.69128
11313,kg CO2e of N2O per unit,0.0006
11314,kg CO2e of N2O per unit,0.00057
11315,kg CO2e of N2O per unit,11.2047
11316,kg CO2e of N2O per unit,0.00168
11317,kg CO2e of N2O per unit,0.00159
