index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor,Size
318111,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),LPG,miles,kg CO2e,0.05277,
31810,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Unknown,tonne.km,kg CO2e,,
31811,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Unknown,km,kg CO2e,,
31812,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Unknown,miles,kg CO2e,,
31813,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Unknown,tonne.km,kg CO2e,,
31814,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Unknown,km,kg CO2e,,
31815,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Unknown,miles,kg CO2e,,
31816,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Unknown,tonne.km,kg CO2e,,
31817,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Unknown,km,kg CO2e,,
31818,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Unknown,miles,kg CO2e,,
31819,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Unknown,tonne.km,kg CO2e,0.15335,
318110,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Unknown,km,kg CO2e,0.0613,
318111,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Unknown,miles,kg CO2e,0.09865,
31810,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,,
31811,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Plug-in Hybrid Electric Vehicle,km,kg CO2e,,
31812,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Plug-in Hybrid Electric Vehicle,miles,kg CO2e,,
31813,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,,
31814,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Plug-in Hybrid Electric Vehicle,km,kg CO2e,,
31815,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Plug-in Hybrid Electric Vehicle,miles,kg CO2e,,
31816,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,0.09458,
31817,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.03758,
31818,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.06047,
31819,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Plug-in Hybrid Electric Vehicle,tonne.km,kg CO2e,0.09458,
318110,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.03758,
318111,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.06047,
31810,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Battery Electric Vehicle,tonne.km,kg CO2e,0.03481,
31811,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Battery Electric Vehicle,km,kg CO2e,0.00943,
31812,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class I (up to 1.305 tonnes),Battery Electric Vehicle,miles,kg CO2e,0.01517,
31813,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Battery Electric Vehicle,tonne.km,kg CO2e,0.0619,
31814,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Battery Electric Vehicle,km,kg CO2e,0.01454,
31815,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class II (1.305 to 1.74 tonnes),Battery Electric Vehicle,miles,kg CO2e,0.0234,
31816,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Battery Electric Vehicle,tonne.km,kg CO2e,0.05241,
31817,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Battery Electric Vehicle,km,kg CO2e,0.01979,
31818,Scope 3,WTT- delivery vehs & freight,WTT- vans,Class III (1.74 to 3.5 tonnes),Battery Electric Vehicle,miles,kg CO2e,0.03186,
31819,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Battery Electric Vehicle,tonne.km,kg CO2e,0.05633,
318110,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Battery Electric Vehicle,km,kg CO2e,0.01759,
318111,Scope 3,WTT- delivery vehs & freight,WTT- vans,Average (up to 3.5 tonnes),Battery Electric Vehicle,miles,kg CO2e,0.02832,
31820,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,tonne.km,kg CO2e,,
31821,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),0% Laden,km,kg CO2e,0.11027,
