index,Scope,Level 1,Activity,Type,UOM,GHG/Unit,GHG Conversion Factor
3810,Scope 3,Water treatment,Water treatment,Water treatment,cubic metres,kg CO2e,0.17088
3811,Scope 3,Water treatment,Water treatment,Water treatment,million litres,kg CO2e,170.87549
