index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
316116,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,Hybrid,km,kg CO2e,
316117,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,Hybrid,miles,kg CO2e,
31610,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,CNG,km,kg CO2e,
31611,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,CNG,miles,kg CO2e,
31612,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,CNG,km,kg CO2e,
31613,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,CNG,miles,kg CO2e,
31614,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,CNG,km,kg CO2e,
31615,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,CNG,miles,kg CO2e,
31616,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,CNG,km,kg CO2e,
31617,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,CNG,miles,kg CO2e,
31618,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,CNG,km,kg CO2e,
31619,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,CNG,miles,kg CO2e,
316110,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,CNG,km,kg CO2e,
316111,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,CNG,miles,kg CO2e,
316112,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,CNG,km,kg CO2e,
316113,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,CNG,miles,kg CO2e,
316114,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,CNG,km,kg CO2e,
316115,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,CNG,miles,kg CO2e,
316116,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,CNG,km,kg CO2e,
316117,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),MPV,CNG,miles,kg CO2e,
31610,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,LPG,km,kg CO2e,
31611,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Mini,LPG,miles,kg CO2e,
31612,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,LPG,km,kg CO2e,
31613,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Supermini,LPG,miles,kg CO2e,
31614,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,LPG,km,kg CO2e,
31615,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Lower medium,LPG,miles,kg CO2e,
31616,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,LPG,km,kg CO2e,
31617,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Upper medium,LPG,miles,kg CO2e,
31618,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,LPG,km,kg CO2e,
31619,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Executive,LPG,miles,kg CO2e,
316110,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,LPG,km,kg CO2e,
316111,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Luxury,LPG,miles,kg CO2e,
316112,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,LPG,km,kg CO2e,
316113,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Sports,LPG,miles,kg CO2e,
316114,Scope 3,WTT- pass vehs & travel- land,WTT- cars (by market segment),Dual purpose 4X4,LPG,km,kg CO2e,
