index,Scope,Level 1,Activity,Waste type,Last level,UOM,GHG/Unit,GHG Conversion Factor
31012,Scope 3,Waste disposal,Construction,Asbestos,Anaerobic digestion,tonnes,kg CO2e,
31013,Scope 3,Waste disposal,Construction,Asphalt,Anaerobic digestion,tonnes,kg CO2e,
31014,Scope 3,Waste disposal,Construction,Bricks,Anaerobic digestion,tonnes,kg CO2e,
31015,Scope 3,Waste disposal,Construction,Concrete,Anaerobic digestion,tonnes,kg CO2e,
31016,Scope 3,Waste disposal,Construction,Insulation,Anaerobic digestion,tonnes,kg CO2e,
31017,Scope 3,Waste disposal,Construction,Metals,Anaerobic digestion,tonnes,kg CO2e,
31018,Scope 3,Waste disposal,Construction,Soils,Anaerobic digestion,tonnes,kg CO2e,
31019,Scope 3,Waste disposal,Construction,Mineral oil,Anaerobic digestion,tonnes,kg CO2e,
310110,Scope 3,Waste disposal,Construction,Plasterboard,Anaerobic digestion,tonnes,kg CO2e,
310111,Scope 3,Waste disposal,Construction,Tyres,Anaerobic digestion,tonnes,kg CO2e,
310112,Scope 3,Waste disposal,Construction,Wood,Anaerobic digestion,tonnes,kg CO2e,
31020,Scope 3,Waste disposal,Other,Books,Open-loop,tonnes,kg CO2e,
31021,Scope 3,Waste disposal,Other,Glass,Open-loop,tonnes,kg CO2e,4.68568
31022,Scope 3,Waste disposal,Other,Clothing,Open-loop,tonnes,kg CO2e,
31020,Scope 3,Waste disposal,Other,Books,Closed-loop,tonnes,kg CO2e,4.68568
31021,Scope 3,Waste disposal,Other,Glass,Closed-loop,tonnes,kg CO2e,4.68568
31022,Scope 3,Waste disposal,Other,Clothing,Closed-loop,tonnes,kg CO2e,4.68568
31020,Scope 3,Waste disposal,Other,Books,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31021,Scope 3,Waste disposal,Other,Glass,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31022,Scope 3,Waste disposal,Other,Clothing,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31020,Scope 3,Waste disposal,Other,Books,Composting,tonnes,kg CO2e,8.98311
31021,Scope 3,Waste disposal,Other,Glass,Composting,tonnes,kg CO2e,
31022,Scope 3,Waste disposal,Other,Clothing,Composting,tonnes,kg CO2e,
31020,Scope 3,Waste disposal,Other,Books,Landfill,tonnes,kg CO2e,1164.4894
31021,Scope 3,Waste disposal,Other,Glass,Landfill,tonnes,kg CO2e,8.98311
31022,Scope 3,Waste disposal,Other,Clothing,Landfill,tonnes,kg CO2e,496.78228
31020,Scope 3,Waste disposal,Other,Books,Anaerobic digestion,tonnes,kg CO2e,
31021,Scope 3,Waste disposal,Other,Glass,Anaerobic digestion,tonnes,kg CO2e,
31022,Scope 3,Waste disposal,Other,Clothing,Anaerobic digestion,tonnes,kg CO2e,
31030,Scope 3,Waste disposal,Refuse,Household residual waste,Open-loop,tonnes,kg CO2e,
31031,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,Open-loop,tonnes,kg CO2e,
31032,Scope 3,Waste disposal,Refuse,Organic: garden waste,Open-loop,tonnes,kg CO2e,
31033,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,Open-loop,tonnes,kg CO2e,
31034,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,Open-loop,tonnes,kg CO2e,
31030,Scope 3,Waste disposal,Refuse,Household residual waste,Closed-loop,tonnes,kg CO2e,
31031,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,Closed-loop,tonnes,kg CO2e,
31032,Scope 3,Waste disposal,Refuse,Organic: garden waste,Closed-loop,tonnes,kg CO2e,
31033,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,Closed-loop,tonnes,kg CO2e,
31034,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,Closed-loop,tonnes,kg CO2e,
31030,Scope 3,Waste disposal,Refuse,Household residual waste,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31031,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31032,Scope 3,Waste disposal,Refuse,Organic: garden waste,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31033,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31034,Scope 3,Waste disposal,Refuse,Commercial and industrial waste,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31030,Scope 3,Waste disposal,Refuse,Household residual waste,Composting,tonnes,kg CO2e,
31031,Scope 3,Waste disposal,Refuse,Organic: food and drink waste,Composting,tonnes,kg CO2e,8.98311
31032,Scope 3,Waste disposal,Refuse,Organic: garden waste,Composting,tonnes,kg CO2e,8.98311
31033,Scope 3,Waste disposal,Refuse,Organic: mixed food and garden waste,Composting,tonnes,kg CO2e,8.98311
