index,Scope,Level 1,Activity,Type,UOM,GHG/Unit,GHG Conversion Factor
31410,Scope 3,WTT- business travel- sea,WTT- ferry,Foot passenger,passenger.km,kg CO2e,0.00424
31411,Scope 3,WTT- business travel- sea,WTT- ferry,Car passenger,passenger.km,kg CO2e,0.02932
31412,Scope 3,WTT- business travel- sea,WTT- ferry,Average (all passenger),passenger.km,kg CO2e,0.02555
