index,Scope,Level 1,Activity,Type,Unit
31310,Scope 3,Business travel- sea,Ferry,Foot passenger,passenger.km
31311,Scope 3,Business travel- sea,Ferry,Car passenger,passenger.km
31312,Scope 3,Business travel- sea,Ferry,Average (all passenger),passenger.km
