index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
16115,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Unknown,miles,kWh (Net CV),1.27885
16116,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Unknown,km,kWh (Net CV),0.71496
16117,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Unknown,miles,kWh (Net CV),1.15062
1610,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),
1611,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),
1612,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.13002
1613,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.20924
1614,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.32312
1615,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.52001
1616,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.3492
1617,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.56198
1618,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.35254
1619,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.56736
16110,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.49634
16111,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.79878
16112,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.61275
16113,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.98612
16114,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.44006
16115,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.70822
16116,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.36092
16117,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.58085
1610,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Battery Electric Vehicle,km,kWh (Net CV),0.0
1611,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Mini,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1612,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Battery Electric Vehicle,km,kWh (Net CV),0.0
1613,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Supermini,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1614,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Battery Electric Vehicle,km,kWh (Net CV),0.0
1615,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Lower medium,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1616,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Battery Electric Vehicle,km,kWh (Net CV),0.0
1617,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Upper medium,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1618,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Battery Electric Vehicle,km,kWh (Net CV),0.0
1619,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Executive,Battery Electric Vehicle,miles,kWh (Net CV),0.0
16110,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Battery Electric Vehicle,km,kWh (Net CV),0.0
16111,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Luxury,Battery Electric Vehicle,miles,kWh (Net CV),0.0
16112,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Battery Electric Vehicle,km,kWh (Net CV),0.0
16113,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Sports,Battery Electric Vehicle,miles,kWh (Net CV),0.0
16114,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Battery Electric Vehicle,km,kWh (Net CV),0.0
16115,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),Dual purpose 4X4,Battery Electric Vehicle,miles,kWh (Net CV),0.0
16116,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Battery Electric Vehicle,km,kWh (Net CV),0.0
16117,Scope 1,SECR kWh pass & delivery vehs,Cars (by market segment),MPV,Battery Electric Vehicle,miles,kWh (Net CV),0.0
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Diesel,km,kWh (Net CV),0.55315
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Diesel,miles,kWh (Net CV),0.8902
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Diesel,km,kWh (Net CV),0.66377
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Diesel,miles,kWh (Net CV),1.06824
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Diesel,km,kWh (Net CV),0.8134
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Diesel,miles,kWh (Net CV),1.30903
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Diesel,km,kWh (Net CV),0.66887
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Diesel,miles,kWh (Net CV),1.07644
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Petrol,km,kWh (Net CV),0.61844
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Petrol,miles,kWh (Net CV),0.99529
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Petrol,km,kWh (Net CV),0.75592
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Petrol,miles,kWh (Net CV),1.21653
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Petrol,km,kWh (Net CV),1.16215
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Petrol,miles,kWh (Net CV),1.87031
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Petrol,km,kWh (Net CV),0.70374
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Petrol,miles,kWh (Net CV),1.13256
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Hybrid,km,kWh (Net CV),0.47595
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Hybrid,miles,kWh (Net CV),0.76596
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Hybrid,km,kWh (Net CV),0.47641
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Hybrid,miles,kWh (Net CV),0.7667
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Hybrid,km,kWh (Net CV),0.62334
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Hybrid,miles,kWh (Net CV),1.00316
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Hybrid,km,kWh (Net CV),0.52624
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Hybrid,miles,kWh (Net CV),0.8469
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,CNG,km,kWh (Net CV),
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,CNG,miles,kWh (Net CV),
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,CNG,km,kWh (Net CV),0.75592
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,CNG,miles,kWh (Net CV),1.21653
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,CNG,km,kWh (Net CV),1.16215
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,CNG,miles,kWh (Net CV),1.87031
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,CNG,km,kWh (Net CV),0.85033
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,CNG,miles,kWh (Net CV),1.36847
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,LPG,km,kWh (Net CV),
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,LPG,miles,kWh (Net CV),
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,LPG,km,kWh (Net CV),0.75592
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,LPG,miles,kWh (Net CV),1.21653
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,LPG,km,kWh (Net CV),1.16215
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,LPG,miles,kWh (Net CV),1.87031
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,LPG,km,kWh (Net CV),0.85033
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,LPG,miles,kWh (Net CV),1.36847
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Unknown,km,kWh (Net CV),0.59833
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Unknown,miles,kWh (Net CV),0.96292
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Unknown,km,kWh (Net CV),0.70622
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Unknown,miles,kWh (Net CV),1.13655
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Unknown,km,kWh (Net CV),0.90586
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Unknown,miles,kWh (Net CV),1.45784
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Unknown,km,kWh (Net CV),0.68773
1627,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Unknown,miles,kWh (Net CV),1.10679
1620,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.13002
1621,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.20924
1622,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.33596
1623,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.54068
1624,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.43227
1625,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,miles,kWh (Net CV),0.69566
1626,Scope 1,SECR kWh pass & delivery vehs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,km,kWh (Net CV),0.39517
