index,Scope,Level 1,Activity,Type,Unit,Size
31743,Scope 3,Freighting goods,Freight flights,"International, to/from non-UK",tonne.km,
31750,Scope 3,Freighting goods,Rail,Freight train,tonne.km,
31760,Scope 3,Freighting goods,Sea tanker,Crude tanker,tonne.km,"200,000+ dwt"
31761,Scope 3,Freighting goods,Sea tanker,Crude tanker,tonne.km,"120,000–199,999 dwt"
31762,Scope 3,Freighting goods,Sea tanker,Crude tanker,tonne.km,"80,000–119,999 dwt"
31763,Scope 3,Freighting goods,Sea tanker,Crude tanker,tonne.km,"60,000–79,999 dwt"
31764,Scope 3,Freighting goods,Sea tanker,Crude tanker,tonne.km,"10,000–59,999 dwt"
31765,Scope 3,Freighting goods,Sea tanker,Crude tanker,tonne.km,0–9999 dwt
31766,Scope 3,Freighting goods,Sea tanker,Crude tanker,tonne.km,Average
31767,Scope 3,Freighting goods,Sea tanker,Products tanker ,tonne.km,"60,000+ dwt"
31768,Scope 3,Freighting goods,Sea tanker,Products tanker ,tonne.km,"20,000–59,999 dwt"
31769,Scope 3,Freighting goods,Sea tanker,Products tanker ,tonne.km,"10,000–19,999 dwt"
317610,Scope 3,Freighting goods,Sea tanker,Products tanker ,tonne.km,5000–9999 dwt
317611,Scope 3,Freighting goods,Sea tanker,Products tanker ,tonne.km,0–4999 dwt
317612,Scope 3,Freighting goods,Sea tanker,Products tanker ,tonne.km,Average
317613,Scope 3,Freighting goods,Sea tanker,Chemical tanker ,tonne.km,"20,000+ dwt"
317614,Scope 3,Freighting goods,Sea tanker,Chemical tanker ,tonne.km,"10,000–19,999 dwt"
317615,Scope 3,Freighting goods,Sea tanker,Chemical tanker ,tonne.km,5000–9999 dwt
317616,Scope 3,Freighting goods,Sea tanker,Chemical tanker ,tonne.km,0–4999 dwt
317617,Scope 3,Freighting goods,Sea tanker,Chemical tanker ,tonne.km,Average
317618,Scope 3,Freighting goods,Sea tanker,LNG tanker,tonne.km,"200,000+ m3"
317619,Scope 3,Freighting goods,Sea tanker,LNG tanker,tonne.km,"0–199,999 m3"
317620,Scope 3,Freighting goods,Sea tanker,LNG tanker,tonne.km,Average
317621,Scope 3,Freighting goods,Sea tanker,LPG Tanker,tonne.km,"50,000+ m3"
317622,Scope 3,Freighting goods,Sea tanker,LPG Tanker,tonne.km,"0–49,999 m3"
317623,Scope 3,Freighting goods,Sea tanker,LPG Tanker,tonne.km,Average
31770,Scope 3,Freighting goods,Cargo ship,Bulk carrier,tonne.km,"200,000+ dwt"
31771,Scope 3,Freighting goods,Cargo ship,Bulk carrier,tonne.km,"100,000–199,999 dwt"
31772,Scope 3,Freighting goods,Cargo ship,Bulk carrier,tonne.km,"60,000–99,999 dwt"
31773,Scope 3,Freighting goods,Cargo ship,Bulk carrier,tonne.km,"35,000–59,999 dwt"
31774,Scope 3,Freighting goods,Cargo ship,Bulk carrier,tonne.km,"10,000–34,999 dwt"
31775,Scope 3,Freighting goods,Cargo ship,Bulk carrier,tonne.km,0–9999 dwt
31776,Scope 3,Freighting goods,Cargo ship,Bulk carrier,tonne.km,Average
31777,Scope 3,Freighting goods,Cargo ship,General cargo,tonne.km,"10,000+ dwt"
31778,Scope 3,Freighting goods,Cargo ship,General cargo,tonne.km,5000–9999 dwt
31779,Scope 3,Freighting goods,Cargo ship,General cargo,tonne.km,0–4999 dwt
317710,Scope 3,Freighting goods,Cargo ship,General cargo,tonne.km,"10,000+ dwt 100+ TEU"
317711,Scope 3,Freighting goods,Cargo ship,General cargo,tonne.km,5000–9999 dwt 100+ TEU
317712,Scope 3,Freighting goods,Cargo ship,General cargo,tonne.km,0–4999 dwt 100+ TEU
317713,Scope 3,Freighting goods,Cargo ship,General cargo,tonne.km,Average
317714,Scope 3,Freighting goods,Cargo ship,Container ship,tonne.km,8000+ TEU
317715,Scope 3,Freighting goods,Cargo ship,Container ship,tonne.km,5000–7999 TEU
317716,Scope 3,Freighting goods,Cargo ship,Container ship,tonne.km,3000–4999 TEU
317717,Scope 3,Freighting goods,Cargo ship,Container ship,tonne.km,2000–2999 TEU
317718,Scope 3,Freighting goods,Cargo ship,Container ship,tonne.km,1000–1999 TEU
317719,Scope 3,Freighting goods,Cargo ship,Container ship,tonne.km,0–999 TEU
317720,Scope 3,Freighting goods,Cargo ship,Container ship,tonne.km,Average
317721,Scope 3,Freighting goods,Cargo ship,Vehicle transport,tonne.km,4000+ CEU
317722,Scope 3,Freighting goods,Cargo ship,Vehicle transport,tonne.km,0–3999 CEU
317723,Scope 3,Freighting goods,Cargo ship,Vehicle transport,tonne.km,Average
317724,Scope 3,Freighting goods,Cargo ship,RoRo-Ferry,tonne.km,2000+ LM
317725,Scope 3,Freighting goods,Cargo ship,RoRo-Ferry,tonne.km,0–1999 LM
317726,Scope 3,Freighting goods,Cargo ship,RoRo-Ferry,tonne.km,Average
317727,Scope 3,Freighting goods,Cargo ship,Large RoPax ferry,tonne.km,Average
317728,Scope 3,Freighting goods,Cargo ship,Refrigerated cargo,tonne.km, All dwt
