index,Scope,Level 1,Activity,Country,Unit
3510,Scope 3,WTT- UK electricity,WTT- UK electricity (generation),Electricity: UK,kWh
3520,Scope 3,WTT- UK electricity,WTT- UK electricity (T&D),Electricity: UK,kWh
