index,Scope,Level 1,Activity,Fuel,Unit
31245,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,litres
31246,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,kWh (Net CV)
31247,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,kWh (Gross CV)
31248,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,tonnes
31249,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,litres
31250,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,kWh (Net CV)
31251,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,kWh (Gross CV)
31252,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,tonnes
31253,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,litres
31254,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,kWh (Net CV)
31255,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,kWh (Gross CV)
31256,Scope 3,WTT- fuels,Liquid fuels,Waste oils,tonnes
31257,Scope 3,WTT- fuels,Liquid fuels,Waste oils,litres
31258,Scope 3,WTT- fuels,Liquid fuels,Waste oils,kWh (Net CV)
31259,Scope 3,WTT- fuels,Liquid fuels,Waste oils,kWh (Gross CV)
31260,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,tonnes
31261,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,litres
31262,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,kWh (Net CV)
31263,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,kWh (Gross CV)
31264,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,tonnes
31265,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,litres
31266,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,kWh (Net CV)
31267,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,kWh (Gross CV)
3130,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),tonnes
3131,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),kWh (Net CV)
3132,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),kWh (Gross CV)
3133,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),tonnes
3134,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),kWh (Net CV)
3135,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),kWh (Gross CV)
3136,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),tonnes
3137,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),kWh (Net CV)
3138,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),kWh (Gross CV)
3139,Scope 3,WTT- fuels,Solid fuels,Coking coal,tonnes
31310,Scope 3,WTT- fuels,Solid fuels,Coking coal,kWh (Net CV)
31311,Scope 3,WTT- fuels,Solid fuels,Coking coal,kWh (Gross CV)
31312,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,tonnes
31313,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,kWh (Net CV)
31314,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,kWh (Gross CV)
31315,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),tonnes
31316,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),kWh (Net CV)
31317,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),kWh (Gross CV)
