index,Scope,Level 1,Activity,Type,Unit
31410,Scope 3,WTT- business travel- sea,WTT- ferry,Foot passenger,passenger.km
31411,Scope 3,WTT- business travel- sea,WTT- ferry,Car passenger,passenger.km
31412,Scope 3,WTT- business travel- sea,WTT- ferry,Average (all passenger),passenger.km
