index,Scope,Level 1,Activity,Type,Unit
3610,Scope 3,WTT- heat and steam,WTT- heat and steam,Onsite heat and steam,kWh
3611,Scope 3,WTT- heat and steam,WTT- heat and steam,District heat and steam,kWh
3620,Scope 3,WTT- heat and steam,WTT- district heat & steam distribution,5% loss,kWh
