index,Scope,Level 1,Activity,Type,Unit
3310,Scope 3,Transmission and distribution,T&D- UK electricity,Electricity: UK,kWh
3320,Scope 3,Transmission and distribution,Distribution - district heat & steam,5% loss,kWh
