index,Scope,Level 1,Activity,Type,UOM,GHG/Unit,GHG Conversion Factor
3710,Scope 3,Water supply,Water supply,Water supply,cubic metres,kg CO2e,0.1913
3711,Scope 3,Water supply,Water supply,Water supply,million litres,kg CO2e,191.30156
