index,Scope,Level 1,Activity,UOM,GHG/Unit,GHG Conversion Factor
32210,Scope 3,Homeworking,Office Equipment,per FTE Working Hour,kg CO2e,0.03144
32211,Scope 3,Homeworking,Heating,per FTE Working Hour,kg CO2e,0.30234
