index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
3610,Scope 3,WTT- heat and steam,WTT- heat and steam,Onsite heat and steam,kWh,kWh,kg CO2e,0.03341
3611,Scope 3,WTT- heat and steam,WTT- heat and steam,District heat and steam,kWh,kWh,kg CO2e,0.03341
3620,Scope 3,WTT- heat and steam,WTT- district heat & steam distribution,5% loss,kWh,kWh,kg CO2e,0.00176
