index,Scope,Level 1,Activity,Material,Last level,UOM,GHG/Unit,GHG Conversion Factor
3930,Scope 3,Material use,Organic,Compost derived from garden waste,Open-loop source,tonnes,kg CO2e,
3931,Scope 3,Material use,Organic,Compost derived from food and garden waste,Open-loop source,tonnes,kg CO2e,
3930,Scope 3,Material use,Organic,Compost derived from garden waste,Closed-loop source,tonnes,kg CO2e,
3931,Scope 3,Material use,Organic,Compost derived from food and garden waste,Closed-loop source,tonnes,kg CO2e,
3940,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,Primary material production,tonnes,kg CO2e,4363.33333
3941,Scope 3,Material use,Electrical items,Electrical items - large,Primary material production,tonnes,kg CO2e,3267.0
3942,Scope 3,Material use,Electrical items,Electrical items - IT,Primary material production,tonnes,kg CO2e,24865.47556
3943,Scope 3,Material use,Electrical items,Electrical items - small,Primary material production,tonnes,kg CO2e,5647.94563
3944,Scope 3,Material use,Electrical items,Batteries - Alkaline,Primary material production,tonnes,kg CO2e,4633.47826
3945,Scope 3,Material use,Electrical items,Batteries - Li ion,Primary material production,tonnes,kg CO2e,6308.0
3946,Scope 3,Material use,Electrical items,Batteries - NiMh,Primary material production,tonnes,kg CO2e,28380.0
3940,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,Re-used,tonnes,kg CO2e,
3941,Scope 3,Material use,Electrical items,Electrical items - large,Re-used,tonnes,kg CO2e,
3942,Scope 3,Material use,Electrical items,Electrical items - IT,Re-used,tonnes,kg CO2e,
3943,Scope 3,Material use,Electrical items,Electrical items - small,Re-used,tonnes,kg CO2e,
3944,Scope 3,Material use,Electrical items,Batteries - Alkaline,Re-used,tonnes,kg CO2e,
3945,Scope 3,Material use,Electrical items,Batteries - Li ion,Re-used,tonnes,kg CO2e,
3946,Scope 3,Material use,Electrical items,Batteries - NiMh,Re-used,tonnes,kg CO2e,
3940,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,Open-loop source,tonnes,kg CO2e,
3941,Scope 3,Material use,Electrical items,Electrical items - large,Open-loop source,tonnes,kg CO2e,
3942,Scope 3,Material use,Electrical items,Electrical items - IT,Open-loop source,tonnes,kg CO2e,
3943,Scope 3,Material use,Electrical items,Electrical items - small,Open-loop source,tonnes,kg CO2e,
3944,Scope 3,Material use,Electrical items,Batteries - Alkaline,Open-loop source,tonnes,kg CO2e,
3945,Scope 3,Material use,Electrical items,Batteries - Li ion,Open-loop source,tonnes,kg CO2e,
3946,Scope 3,Material use,Electrical items,Batteries - NiMh,Open-loop source,tonnes,kg CO2e,
3940,Scope 3,Material use,Electrical items,Electrical items - fridges and freezers,Closed-loop source,tonnes,kg CO2e,
3941,Scope 3,Material use,Electrical items,Electrical items - large,Closed-loop source,tonnes,kg CO2e,
3942,Scope 3,Material use,Electrical items,Electrical items - IT,Closed-loop source,tonnes,kg CO2e,
3943,Scope 3,Material use,Electrical items,Electrical items - small,Closed-loop source,tonnes,kg CO2e,
3944,Scope 3,Material use,Electrical items,Batteries - Alkaline,Closed-loop source,tonnes,kg CO2e,
3945,Scope 3,Material use,Electrical items,Batteries - Li ion,Closed-loop source,tonnes,kg CO2e,
3946,Scope 3,Material use,Electrical items,Batteries - NiMh,Closed-loop source,tonnes,kg CO2e,
3950,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),Primary material production,tonnes,kg CO2e,9115.90131
3951,Scope 3,Material use,Metal,Metal: mixed cans,Primary material production,tonnes,kg CO2e,5114.62131
3952,Scope 3,Material use,Metal,Metal: scrap metal,Primary material production,tonnes,kg CO2e,3473.11953
3953,Scope 3,Material use,Metal,Metal: steel cans,Primary material production,tonnes,kg CO2e,2863.90131
3950,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),Re-used,tonnes,kg CO2e,
3951,Scope 3,Material use,Metal,Metal: mixed cans,Re-used,tonnes,kg CO2e,
3952,Scope 3,Material use,Metal,Metal: scrap metal,Re-used,tonnes,kg CO2e,
3953,Scope 3,Material use,Metal,Metal: steel cans,Re-used,tonnes,kg CO2e,
3950,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),Open-loop source,tonnes,kg CO2e,
3951,Scope 3,Material use,Metal,Metal: mixed cans,Open-loop source,tonnes,kg CO2e,
3952,Scope 3,Material use,Metal,Metal: scrap metal,Open-loop source,tonnes,kg CO2e,
3953,Scope 3,Material use,Metal,Metal: steel cans,Open-loop source,tonnes,kg CO2e,
3950,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),Closed-loop source,tonnes,kg CO2e,995.0779
3951,Scope 3,Material use,Metal,Metal: mixed cans,Closed-loop source,tonnes,kg CO2e,1525.52488
3952,Scope 3,Material use,Metal,Metal: scrap metal,Closed-loop source,tonnes,kg CO2e,1706.42359
3953,Scope 3,Material use,Metal,Metal: steel cans,Closed-loop source,tonnes,kg CO2e,1823.90131
3960,Scope 3,Material use,Plastic,Plastics: average plastics,Primary material production,tonnes,kg CO2e,3172.49932
3961,Scope 3,Material use,Plastic,Plastics: average plastic film,Primary material production,tonnes,kg CO2e,2916.50513
3962,Scope 3,Material use,Plastic,Plastics: average plastic rigid,Primary material production,tonnes,kg CO2e,3354.28062
3963,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),Primary material production,tonnes,kg CO2e,3095.15524
3964,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),Primary material production,tonnes,kg CO2e,2965.0779
3965,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),Primary material production,tonnes,kg CO2e,3863.90131
3966,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),Primary material production,tonnes,kg CO2e,2577.57172
3967,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),Primary material production,tonnes,kg CO2e,4376.80391
3968,Scope 3,Material use,Plastic,Plastics: PVC (incl. forming),Primary material production,tonnes,kg CO2e,2944.75615
3960,Scope 3,Material use,Plastic,Plastics: average plastics,Re-used,tonnes,kg CO2e,
3961,Scope 3,Material use,Plastic,Plastics: average plastic film,Re-used,tonnes,kg CO2e,
3962,Scope 3,Material use,Plastic,Plastics: average plastic rigid,Re-used,tonnes,kg CO2e,
3963,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),Re-used,tonnes,kg CO2e,
3964,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),Re-used,tonnes,kg CO2e,
3965,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),Re-used,tonnes,kg CO2e,
3966,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),Re-used,tonnes,kg CO2e,
3967,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),Re-used,tonnes,kg CO2e,
3968,Scope 3,Material use,Plastic,Plastics: PVC (incl. forming),Re-used,tonnes,kg CO2e,
3960,Scope 3,Material use,Plastic,Plastics: average plastics,Open-loop source,tonnes,kg CO2e,
