index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
3310,Scope 3,Transmission and distribution,T&D- UK electricity,Electricity: UK,kWh,kWh,kg CO2e,0.01853
3310,Scope 3,Transmission and distribution,T&D- UK electricity,Electricity: UK,kWh,kWh,kg CO2e of CO2 per unit,0.01834
3310,Scope 3,Transmission and distribution,T&D- UK electricity,Electricity: UK,kWh,kWh,kg CO2e of CH4 per unit,8e-05
3310,Scope 3,Transmission and distribution,T&D- UK electricity,Electricity: UK,kWh,kWh,kg CO2e of N2O per unit,0.00011
3320,Scope 3,Transmission and distribution,Distribution - district heat & steam,5% loss,kWh,kWh,kg CO2e,0.00945
3320,Scope 3,Transmission and distribution,Distribution - district heat & steam,5% loss,kWh,kWh,kg CO2e of CO2 per unit,0.00936
3320,Scope 3,Transmission and distribution,Distribution - district heat & steam,5% loss,kWh,kWh,kg CO2e of CH4 per unit,7e-05
3320,Scope 3,Transmission and distribution,Distribution - district heat & steam,5% loss,kWh,kWh,kg CO2e of N2O per unit,3e-05
