index,Scope,Level 1,Activity,Country,Last level,UOM,GHG/Unit,GHG Conversion Factor
3510,Scope 3,WTT- UK electricity,WTT- UK electricity (generation),Electricity: UK,kWh,kWh,kg CO2e,0.0459
3520,Scope 3,WTT- UK electricity,WTT- UK electricity (T&D),Electricity: UK,kWh,kWh,kg CO2e,0.00397
